tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2017-W-WITF-USA-34A-2017,Charleston SC $15K,Clay,32,15,20170925,19,215613,,WC,Emma Navarro,R,,USA,16.3,213926,,,Bianca Turati,R,173,ITA,20.2,7-5 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,641,34
2017-W-WITF-USA-34A-2017,Charleston SC $15K,Clay,32,15,20170925,26,213737,8,,Anastasia Evgenyevna Nefedova,R,,RUS,18.7,215613,,WC,Emma Navarro,R,,USA,16.3,6-4 7-6(4),3,QF,,,,,,,,,,,,,,,,,,,,832,17,,
2017-W-WITF-USA-35A-2017,Hilton Head Island SC $15K,Clay,32,15,20171002,15,213796,,,Petra Januskova,R,,CAN,26.5,202468,,,Jessica Pegula,R,170,USA,23.6,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,1025,8,870,14
2017-W-WITF-USA-36A-2017,Sumter SC $25K,Hard,32,25,20171009,3,202468,,,Jessica Pegula,R,170,USA,23.6,215431,,Q,Emily Appleton,R,,GBR,18.1,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,870,14,855,15
2017-W-WITF-USA-36A-2017,Sumter SC $25K,Hard,32,25,20171009,18,202468,,,Jessica Pegula,R,170,USA,23.6,202500,8,,Maria Sanchez,R,178,USA,27.8,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,870,14,281,182
2017-W-WITF-USA-36A-2017,Sumter SC $25K,Hard,32,25,20171009,25,203501,,,Taylor Townsend,L,170,USA,21.4,202468,,,Jessica Pegula,R,170,USA,23.6,7-5 6-4,3,QF,,,,,,,,,,,,,,,,,,,,128,476,870,14
2017-W-WITF-USA-38A-2017,Macon GA $80K,Hard,32,80,20171023,602,202468,,WC,Jessica Pegula,R,170,USA,23.6,214019,,,Raveena Kingsley,U,,USA,19.2,6-4 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,735,23,524,56
2017-W-WITF-USA-38A-2017,Macon GA $80K,Hard,32,80,20171023,617,202468,,WC,Jessica Pegula,R,170,USA,23.6,213672,,,Usue Maitane Arconada,R,165,USA,18.9,7-6(5) 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,735,23,219,244
2017-W-WITF-USA-38A-2017,Macon GA $80K,Hard,32,80,20171023,625,201509,,,Ashley Weinhold,R,165,USA,28.3,202468,,WC,Jessica Pegula,R,170,USA,23.6,7-6(4) 6-4,3,Q3,,,,,,,,,,,,,,,,,,,,784,19,735,23
2017-W-WITF-USA-39A-2017,Tyler TX $80K,Hard,32,80,20171030,11,202468,,WC,Jessica Pegula,R,170,USA,23.6,213530,,,Allie Kiick,R,170,USA,22.3,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,704,26,424,85
2017-W-WITF-USA-39A-2017,Tyler TX $80K,Hard,32,80,20171030,22,201529,4,,Kristie Ahn,R,165,USA,25.3,202468,,WC,Jessica Pegula,R,170,USA,23.6,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,,115,515,704,26
2017-W-WITF-USA-40A-2017,Waco TX $80K,Hard,32,80,20171106,2,213672,,,Usue Maitane Arconada,R,165,USA,19.0,202468,,SR,Jessica Pegula,R,170,USA,23.6,6-4 1-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,234,231,632,36
2017-W-WITF-UZB-04A-2017,Fergana $25K,Hard,32,25,20170619,13,214981,,,Elena Rybakina,R,184,KAZ,18.0,214694,7,,Karman Thandi,R,183,IND,19.0,1-6 7-6(1) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,539,51,405,88
2017-W-WITF-UZB-04A-2017,Fergana $25K,Hard,32,25,20170619,23,214981,,,Elena Rybakina,R,184,KAZ,18.0,201652,,,Ksenia Palkina,R,174,KGZ,27.5,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,539,51,661,33
2017-W-WITF-UZB-04A-2017,Fergana $25K,Hard,32,25,20170619,28,214981,,,Elena Rybakina,R,184,KAZ,18.0,201671,2,,Ksenia Lykina,R,165,RUS,27.0,6-3 6-4,3,QF,,,,,,,,,,,,,,,,,,,,539,51,217,244
2017-W-WITF-UZB-04A-2017,Fergana $25K,Hard,32,25,20170619,30,214981,,,Elena Rybakina,R,184,KAZ,18.0,201672,3,,Nigina Abduraimova,R,184,UZB,22.9,6-2 6-1,3,SF,,,,,,,,,,,,,,,,,,,,539,51,225,235
2017-W-WITF-UZB-04A-2017,Fergana $25K,Hard,32,25,20170619,31,201674,1,,Sabina Sharipova,R,174,UZB,22.7,214981,,,Elena Rybakina,R,184,KAZ,18.0,6-4 7-6(5),3,F,,,,,,,,,,,,,,,,,,,,156,358,539,51
2017-W-WITF-ITA-06A-2017,Santa Margherita Di Pula $25K,Clay,31,25,20170410,288,211099,,,Nicoleta Catalina Dascalu,R,,ROU,21.3,206252,6,,Barbora Krejcikova,R,178,CZE,21.3,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,308,135,217,237
2017-0300,Luxembourg,Hard,32,I,20171016,833,214541,,,Fanny Stollar,R,172,HUN,18.9,211148,,,Jasmine Paolini,R,160,ITA,21.7,7-5 6-2,3,Q1,68,4,2,48,23,21,15,10,0,1,3,3,65,38,25,9,10,6,10,238,224,140,411
2017-0528,Linz,Hard,32,I,20171009,835,203500,5,,Sachia Vickery,R,162,USA,22.4,211148,,,Jasmine Paolini,R,160,ITA,21.7,3-6 6-0 6-1,3,Q1,78,2,3,78,46,28,16,11,5,8,1,7,60,37,17,7,11,3,10,112,540,138,418
2017-0528,Linz,Hard,32,I,20171009,839,206252,8,,Barbora Krejcikova,R,178,CZE,21.8,215370,,,Bianca Andreescu,R,170,CAN,17.3,6-4 6-2,3,Q1,83,0,8,67,32,24,16,9,2,4,0,7,46,25,15,7,9,2,7,127,478,156,358
2017-0528,Linz,Hard,32,I,20171009,849,201648,,,Naomi Broady,R,189,GBR,27.6,206252,8,,Barbora Krejcikova,R,178,CZE,21.8,6-4 6-1,3,Q2,76,5,3,58,30,23,16,9,3,4,1,5,59,41,26,4,8,3,7,132,448,127,478
2017-0602,New Haven,Hard,32,P,20170821,834,201465,,,Kirsten Flipkens,R,165,BEL,31.6,206252,,,Barbora Krejcikova,R,178,CZE,21.6,6-3 6-1,3,Q1,90,2,2,48,29,22,8,8,4,6,1,2,79,52,24,10,8,8,14,76,768,124,499
2017-0718,Dubai,Hard,64,P,20170220,797,214544,14,,Aryna Sabalenka,R,182,BLR,18.7,202622,,WC,Lyudmyla Kichenok,R,175,UKR,24.5,7-5 6-0,3,Q1,64,5,2,60,33,20,17,9,5,7,3,8,50,28,12,7,9,2,8,140,409,407,85
2017-0718,Dubai,Hard,64,P,20170220,806,214544,14,,Aryna Sabalenka,R,182,BLR,18.7,202695,,,Aleksandrina Naydenova,R,170,BUL,24.9,6-2 6-2,3,Q2,65,1,1,45,27,17,11,8,1,3,0,6,53,30,13,7,8,7,13,140,409,241,198
2017-0806,Toronto,Hard,64,P,20170807,789,206252,,,Barbora Krejcikova,R,178,CZE,21.6,202663,24,,Magda Linette,R,171,POL,25.4,4-6 7-6(3) 6-4,3,Q1,146,3,3,95,68,48,8,16,5,11,2,2,114,81,48,13,16,9,15,125,488,83,700
2017-0806,Toronto,Hard,64,P,20170807,804,211768,3,,Naomi Osaka,R,180,JPN,19.8,206252,,,Barbora Krejcikova,R,178,CZE,21.6,1-6 7-6(4) 6-0,3,Q2,120,2,5,77,43,32,17,13,4,7,4,9,104,69,42,16,12,10,13,50,1120,125,488
2017-0825,Tashkent,Hard,32,I,20170925,846,211148,3,,Jasmine Paolini,R,160,ITA,21.7,215290,,,Katarina Zavatska,R,173,UKR,17.6,4-6 6-3 6-1,3,Q1,121,0,4,81,42,29,13,13,3,8,0,8,82,54,30,8,13,2,10,135,436,260,204
2017-0825,Tashkent,Hard,32,I,20170925,852,201329,,,Vera Zvonareva,R,172,RUS,33.0,211148,3,,Jasmine Paolini,R,160,ITA,21.7,6-0 6-2,3,Q2,55,0,1,43,22,15,12,7,2,3,0,2,39,18,8,6,7,1,7,308,151,135,436
2017-1005,Rabat,Clay,32,I,20170501,830,211736,,,Ivana Jorovic,R,174,SRB,19.9,214544,4,,Aryna Sabalenka,R,182,BLR,18.9,3-6 6-2 6-3,3,Q1,107,2,5,80,54,35,9,13,1,6,2,4,85,33,18,24,13,9,16,176,315,121,456
2017-1005,Rabat,Clay,32,I,20170501,833,206252,,,Barbora Krejcikova,R,178,CZE,21.3,215417,,WC,Abir El Fahimi,U,,MAR,21.5,6-2 6-0,3,Q1,57,0,2,45,27,18,11,7,1,2,0,8,48,19,11,7,7,2,8,245,204,,
2017-1005,Rabat,Clay,32,I,20170501,846,202434,3,,Aleksandra Krunic,R,163,SRB,24.1,206252,,,Barbora Krejcikova,R,178,CZE,21.3,6-3 6-1,3,Q2,60,3,2,47,29,25,9,8,0,0,1,0,46,21,10,13,8,2,6,128,432,245,204
2017-1041,Kuala Lumpur,Hard,32,I,20170227,844,203504,,,Miyu Kato,R,156,JPN,22.2,214544,3,,Aryna Sabalenka,R,182,BLR,18.8,7-5 2-6 7-6(5),3,Q1,130,2,2,97,73,46,11,16,4,9,4,3,96,46,30,32,16,5,9,201,263,141,409
2017-1048,Bastad,Clay,32,I,20170724,835,206252,3,,Barbora Krejcikova,R,178,CZE,21.5,201551,4,,Arantxa Rus,L,180,NED,26.6,,3,Q3,,,,,,,,,,,,,,,,,,,,140,411,145,373
2017-1048,Bastad,Clay,32,I,20170724,844,206252,3,,Barbora Krejcikova,R,178,CZE,21.5,205723,,,Anna Zaja,R,183,GER,26.0,6-0 3-6 6-4,3,Q1,113,3,4,96,64,43,15,13,7,10,1,4,70,44,27,10,12,4,9,140,411,225,231
2017-1048,Bastad,Clay,32,I,20170724,852,206252,3,,Barbora Krejcikova,R,178,CZE,21.5,201562,12,,Silvia Soler Espinosa,R,169,ESP,29.6,6-0 6-2,3,Q2,62,2,3,43,28,20,7,7,2,4,0,2,48,37,14,2,7,3,10,140,411,192,284
2017-1068,Nurnberg,Clay,32,I,20170522,843,206252,,,Barbora Krejcikova,R,178,CZE,21.4,206335,12,,Jesika Maleckova,R,,CZE,22.7,6-3 2-6 6-2,3,Q1,119,2,6,84,44,32,18,13,3,6,0,4,70,38,22,17,12,3,7,254,196,234,220
2017-1068,Nurnberg,Clay,32,I,20170522,852,206252,,,Barbora Krejcikova,R,178,CZE,21.4,204267,,Alt,Petra Krejsova,R,,CZE,26.8,6-4 6-4,3,Q2,86,5,4,59,34,19,15,10,4,7,5,5,66,30,20,14,10,8,13,254,196,287,157
2017-1079,Bucharest,Clay,32,I,20170717,842,211148,1,,Jasmine Paolini,R,160,ITA,21.5,204249,,WC,Csilla Argyelan,R,,HUN,26.6,6-0 6-1,3,Q1,48,0,1,47,27,19,13,7,5,5,0,0,30,19,7,3,6,2,7,132,430,,
2017-1079,Bucharest,Clay,32,I,20170717,850,201567,,,Alexandra Dulgheru,R,172,ROU,28.1,211148,1,,Jasmine Paolini,R,160,ITA,21.5,6-3 4-6 6-4,3,Q2,138,1,1,89,74,40,10,14,11,16,1,2,102,71,36,16,15,10,17,294,160,132,430
2017-1082,Prague,Clay,32,I,20170501,833,211148,,,Jasmine Paolini,R,160,ITA,21.3,206368,,,Veronika Kudermetova,R,175,RUS,20.0,7-6(3) 3-6 6-4,3,Q1,122,0,2,98,66,42,16,15,7,11,6,3,102,66,45,19,16,5,9,196,268,192,282
2017-1082,Prague,Clay,32,I,20170501,846,201621,3,,Mona Barthel,R,185,GER,26.8,211148,,,Jasmine Paolini,R,160,ITA,21.3,6-2 4-6 7-6(3),3,Q2,132,6,3,92,63,33,16,15,7,14,2,2,130,97,47,15,15,21,29,82,737,196,268
2017-1086,St. Petersburg,Hard,32,P,20170130,835,202499,7,,Donna Vekic,R,179,CRO,20.5,214544,,,Aryna Sabalenka,R,182,BLR,18.7,6-4 6-2,3,Q1,70,3,0,54,29,21,15,9,0,1,5,2,57,33,20,9,9,5,9,88,726,142,413
2017-1096,Taipei,Hard,32,I,20170130,846,206252,,,Barbora Krejcikova,R,178,CZE,21.1,201578,2,,Kai Chen Chang,R,167,TPE,26.0,6-4 6-7(3) 7-5,3,Q1,150,0,9,106,63,42,20,17,10,16,4,10,128,81,49,16,17,13,21,254,187,120,512
2017-1096,Taipei,Hard,32,I,20170130,853,203504,9,,Miyu Kato,R,156,JPN,22.1,206252,,,Barbora Krejcikova,R,178,CZE,21.1,6-1 5-7 6-4,3,Q2,122,0,4,94,61,36,17,15,7,12,3,1,86,55,29,12,14,6,13,188,293,254,187
2017-1098,Biel,Hard,32,I,20170410,832,211148,,,Jasmine Paolini,R,160,ITA,21.2,202695,,,Aleksandrina Naydenova,R,170,BUL,25.1,7-5 4-6 6-2,3,Q1,117,4,2,86,42,33,21,15,3,6,5,5,102,60,39,18,15,8,13,199,266,249,196
2017-1098,Biel,Hard,32,I,20170410,834,214544,3,,Aryna Sabalenka,R,182,BLR,18.9,213837,,WC,Ylena In Albon,R,,SUI,18.0,6-2 6-0,3,Q1,44,7,3,38,23,19,10,7,2,2,1,2,38,22,11,6,7,1,6,129,456,628,36
2017-1098,Biel,Hard,32,I,20170410,845,211148,,,Jasmine Paolini,R,160,ITA,21.2,202702,6,,Tereza Smitkova,R,176,CZE,22.4,2-6 6-4 6-3,3,Q2,99,0,2,89,45,37,14,14,3,7,13,5,69,41,32,12,13,0,4,199,266,164,331
2017-1098,Biel,Hard,32,I,20170410,846,214954,,,Marketa Vondrousova,L,173,CZE,17.7,214544,3,,Aryna Sabalenka,R,182,BLR,18.9,2-6 6-2 6-1,3,Q2,87,3,3,71,37,25,15,11,5,9,1,9,82,35,24,12,12,7,14,233,216,129,456
2017-1098,Biel,Hard,32,I,20170410,852,214954,,,Marketa Vondrousova,L,173,CZE,17.7,211148,,,Jasmine Paolini,R,160,ITA,21.2,7-5 6-2,3,Q3,72,4,2,63,32,21,17,10,5,8,0,3,51,23,9,13,10,0,6,233,216,199,266
2017-520,Roland Garros,Clay,128,G,20170529,740,203567,,,Ipek Soylu,R,174,TUR,21.1,214544,11,,Aryna Sabalenka,R,182,BLR,19.0,4-6 6-1 7-6(3),3,Q1,,,,,,,,,,,,,,,,,,,,156,352,116,456
2017-520,Roland Garros,Clay,128,G,20170529,744,201318,12,,Bethanie Mattek Sands,R,168,USA,32.1,211148,,,Jasmine Paolini,R,160,ITA,21.3,4-6 6-2 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,117,455,200,276
2017-540,Wimbledon,Grass,128,G,20170703,719,211148,15,,Jasmine Paolini,R,160,ITA,21.4,211432,,,Eden Silva,R,,GBR,21.3,7-5 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,133,420,601,42
2017-540,Wimbledon,Grass,128,G,20170703,723,214544,13,,Aryna Sabalenka,R,182,BLR,19.1,204291,,,Na Lae Han,L,,KOR,24.9,4-6 6-2 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,136,410,206,275
2017-540,Wimbledon,Grass,128,G,20170703,747,206252,22,,Barbora Krejcikova,R,178,CZE,21.5,211887,,,Maia Lumsden,R,,GBR,19.4,4-6 7-6(1) 10-8,3,Q1,,,,,,,,,,,,,,,,,,,,143,393,682,30
2017-540,Wimbledon,Grass,128,G,20170703,757,213544,,,Jana Fett,R,168,CRO,20.6,211148,15,,Jasmine Paolini,R,160,ITA,21.4,6-0 1-6 7-5,3,Q2,,,,,,,,,,,,,,,,,,,,146,385,133,420
2017-540,Wimbledon,Grass,128,G,20170703,759,214544,13,,Aryna Sabalenka,R,182,BLR,19.1,211222,,,Jamie Loeb,R,168,USA,22.3,7-6(5) 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,136,410,147,383
2017-540,Wimbledon,Grass,128,G,20170703,771,215018,,,Destanee Aiava,R,175,AUS,17.1,206252,22,,Barbora Krejcikova,R,178,CZE,21.5,6-2 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,171,321,143,393
2017-540,Wimbledon,Grass,128,G,20170703,777,214544,13,,Aryna Sabalenka,R,182,BLR,19.1,201529,6,,Kristie Ahn,R,165,USA,25.0,6-1 6-1,3,Q3,,,,,,,,,,,,,,,,,,,,136,410,118,488
