ranking_date,rank,player,points,tours
20140804,231,206252,235,
20140804,462,211148,70,
20140804,465,202468,69,
20140804,649,214082,35,
20140811,238,206252,224,
20140811,459,211148,70,
20140811,464,202468,68,
20140811,645,214082,35,
20140818,238,206252,220,
20140818,454,211148,70,
20140818,463,202468,68,
20140818,638,214082,35,
20140825,237,206252,220,
20140825,463,202468,68,
20140825,481,211148,64,
20140825,636,214082,35,
20140901,237,206252,220,
20140901,463,202468,68,
20140901,481,211148,64,
20140901,636,214082,35,
20140908,214,206252,246,
20140908,460,202468,68,
20140908,475,211148,64,
20140908,637,214082,35,
20140915,192,206252,290,
20140915,435,211148,74,
20140915,456,202468,68,
20140915,637,214082,35,
20140922,189,206252,290,
20140922,459,211148,68,
20140922,519,202468,54,
20140922,599,214082,40,
20140929,187,206252,290,
20140929,359,211148,99,
20140929,386,214082,90,
20140929,518,202468,54,
20141006,184,206252,290,
20141006,376,211148,93,
20141006,385,214082,90,
20141006,516,202468,54,
20141013,186,206252,282,
20141013,376,211148,93,
20141013,381,214082,90,
20141013,504,202468,55,
20141020,180,206252,288,
20141020,376,211148,93,
20141020,382,214082,90,
20141020,503,202468,55,
20141027,185,206252,286,
20141027,344,211148,107,
20141027,385,214082,90,
20141027,603,202468,37,
20141103,187,206252,278,
20141103,327,211148,115,
20141103,370,214082,93,
20141103,775,202468,19,
20141110,168,206252,316,
20141110,322,211148,120,
20141110,361,214082,99,
20141117,169,206252,316,
20141117,318,211148,120,
20141117,360,214082,99,
20141124,168,206252,316,
20141124,316,211148,120,
20141124,358,214082,99,
20141201,169,206252,313,
20141201,315,211148,120,
20141201,356,214082,99,
20141208,175,206252,302,
20141208,313,211148,120,
20141208,358,214082,95,
20141215,173,206252,302,
20141215,314,211148,120,
20141215,355,214082,95,
20141222,175,206252,302,
20141222,309,211148,120,
20141222,352,214082,95,
20141229,174,206252,302,
20141229,309,211148,120,
20141229,354,214082,95,
20150105,173,206252,302,
20150105,310,211148,120,
20150105,350,214082,95,
20150112,177,206252,302,
20150112,310,211148,120,
20150112,350,214082,95,
20150119,170,206252,315,
20150119,310,211148,120,
20150119,350,214082,95,
20150126,170,206252,315,
20150126,310,211148,120,
20150126,350,214082,95,
20150202,158,206252,332,
20150202,264,214082,160,
20150202,325,211148,105,
20150202,1021,202468,7,
20150209,160,206252,332,
20150209,258,214082,166,
20150209,345,211148,97,
20150209,733,202468,20,
20150209,1210,214544,3,
20150216,160,206252,332,
20150216,259,214082,166,
20150216,348,211148,97,
20150216,733,202468,20,
20150216,1213,214544,3,
20150223,163,206252,332,
20150223,259,214082,166,
20150223,349,211148,97,
20150223,728,202468,20,
20150223,1212,214544,3,
20150302,157,206252,333,24
20150302,259,214082,166,10
20150302,349,211148,97,12
20150302,675,202468,25,5
20150302,1212,214544,3,3
20150309,153,206252,365,
20150309,261,214082,166,
20150309,353,211148,97,
20150309,668,202468,26,
20150309,1221,214544,3,
20150316,153,206252,365,
20150316,261,214082,166,
20150316,353,211148,97,
20150316,668,202468,26,
20150316,1221,214544,3,
20150323,152,206252,365,
20150323,261,214082,166,
20150323,350,211148,97,
20150323,652,202468,28,
20150323,1215,214544,3,
20150330,152,206252,365,
20150330,261,214082,166,
20150330,350,211148,97,
20150330,652,202468,28,
20150330,1215,214544,3,
20150406,150,206252,363,25
20150406,256,214082,177,12
20150406,350,211148,97,12
20150406,614,202468,31,8
20150406,1037,214544,7,5
20150413,149,206252,371,26
20150413,254,214082,177,12
20150413,353,211148,97,12
20150413,460,202468,56,9
20150413,1039,214544,7,5
20150420,147,206252,371,26
20150420,251,214082,177,12
20150420,349,211148,98,13
20150420,470,202468,56,9
20150420,1039,214544,7,5
20150427,147,206252,371,26
20150427,250,214082,177,12
20150427,339,211148,102,14
20150427,418,202468,71,10
20150427,1035,214544,7,5
20150504,146,206252,371,
20150504,264,214082,169,
20150504,342,211148,102,
20150504,396,202468,79,
20150504,923,214544,11,
20150511,147,206252,366,26
20150511,261,214082,170,13
20150511,344,211148,103,15
20150511,379,202468,87,12
20150511,922,214544,11,6
20150518,146,206252,366,25
20150518,256,214082,170,13
20150518,341,211148,104,16
20150518,381,202468,87,12
20150518,919,214544,11,6
20150525,146,206252,366,25
20150525,259,214082,170,13
20150525,342,211148,104,16
20150525,382,202468,87,12
20150525,920,214544,11,6
20150601,146,206252,366,
20150601,259,214082,170,
20150601,342,211148,104,
20150601,383,202468,87,
20150601,920,214544,11,
20150608,140,206252,377,26
20150608,218,214082,225,15
20150608,321,202468,117,13
20150608,325,211148,115,18
20150608,922,214544,11,6
20150615,140,206252,373,
20150615,216,214082,225,
20150615,298,202468,135,
20150615,322,211148,115,
20150615,929,214544,11,
20150622,140,206252,373,27
20150622,195,214082,270,15
20150622,298,202468,136,15
20150622,330,211148,115,18
20150622,741,214544,20,7
20150629,141,206252,373,
20150629,161,214082,320,
20150629,300,202468,136,
20150629,334,211148,115,
20150629,737,214544,21,
20150706,141,206252,373,
20150706,161,214082,320,
20150706,300,202468,136,
20150706,334,211148,115,
20150706,737,214544,21,
20150713,156,214082,320,
20150713,163,206252,311,
20150713,258,202468,166,
20150713,337,211148,111,
20150720,145,206252,362,
20150720,151,214082,337,
20150720,257,202468,166,
20150720,340,211148,111,
20150720,704,214544,23,
20150727,131,214082,414,
20150727,143,206252,362,
20150727,254,202468,166,
20150727,346,211148,106,
20150727,702,214544,23,
20150803,134,214082,414,19
20150803,146,206252,362,25
20150803,255,202468,173,19
20150803,364,211148,94,14
20150803,702,214544,23,10
20150810,132,214082,414,19
20150810,145,206252,362,25
20150810,254,202468,173,20
20150810,366,211148,94,14
20150810,704,214544,23,10
20150817,131,214082,414,
20150817,141,206252,391,
20150817,258,202468,173,
20150817,368,211148,94,
20150817,709,214544,23,
20150824,133,214082,426,20
20150824,142,206252,391,27
20150824,257,202468,173,20
20150824,378,211148,88,13
20150824,710,214544,23,10
20150831,133,214082,426,20
20150831,142,206252,391,27
20150831,260,202468,173,20
20150831,384,211148,88,13
20150831,714,214544,23,10
20150907,133,214082,426,
20150907,142,206252,391,
20150907,260,202468,173,
20150907,384,211148,88,
20150907,714,214544,23,
20150914,109,214082,555,21
20150914,162,206252,316,26
20150914,177,202468,282,21
20150914,392,211148,83,12
20150914,706,214544,23,10
20150921,93,214082,650,21
20150921,158,202468,329,22
