ranking_date,rank,player,points
20100830,184,105777,270
20100906,3,104925,6665
20100906,184,105777,270
20100913,2,104925,7145
20100913,190,105777,262
20100920,2,104925,7145
20100920,146,105777,342
20100927,2,104925,7145
20100927,136,105777,414
20101004,2,104925,7145
20101004,135,105777,414
20101011,2,104925,7145
20101011,136,105777,414
20101018,3,104925,7145
20101018,131,105777,422
20101025,3,104925,7145
20101025,114,105777,497
20101101,3,104925,7145
20101101,112,105777,497
20101108,3,104925,6945
20101108,115,105777,491
20101115,3,104925,5635
20101115,114,105777,491
20101122,3,104925,5635
20101122,112,105777,491
20101129,3,104925,6035
20101129,106,105777,536
20101206,3,104925,6240
20101206,106,105777,536
20101213,3,104925,6240
20101213,106,105777,536
20101220,3,104925,6240
20101220,106,105777,536
20101227,3,104925,6240
20101227,106,105777,536
20110103,3,104925,6240
20110103,106,105777,536
20110110,3,104925,6240
20110110,108,105777,518
20110117,3,104925,6240
20110117,105,105777,518
20110131,3,104925,7880
20110131,85,105777,578
20110207,3,104925,7880
20110207,86,105777,578
20110214,3,104925,7880
20110214,84,105777,598
20110221,3,104925,7880
20110221,81,105777,598
20110228,3,104925,7880
20110228,78,105777,618
20110307,3,104925,7800
20110307,71,105777,705
20110321,2,104925,8710
20110321,70,105777,705
20110404,2,104925,9700
20110404,70,105777,727
20110404,1444,106421,1
20110411,2,104925,9700
20110411,71,105777,742
20110411,1445,106421,1
20110418,2,104925,9640
20110418,70,105777,742
20110418,1438,106421,1
20110425,2,104925,9640
20110425,69,105777,742
20110425,1444,106421,1
20110502,2,104925,9710
20110502,66,105777,781
20110502,1442,106421,1
20110509,2,104925,10665
20110509,64,105777,781
20110509,1441,106421,1
20110516,2,104925,11665
20110516,63,105777,781
20110516,1443,106421,1
20110523,2,104925,11665
20110523,64,105777,781
20110523,1447,106421,1
20110606,2,104925,12025
20110606,64,105777,783
20110606,1460,106421,1
20110613,2,104925,12005
20110613,64,105777,781
20110613,1476,106421,1
20110620,2,104925,12005
20110620,62,105777,818
20110620,1474,106421,1
20110704,1,104925,13285
20110704,60,105777,831
20110704,1474,106421,1
20110711,1,104925,13155
20110711,59,105777,833
20110711,1471,106421,1
20110718,1,104925,13155
20110718,59,105777,833
20110718,1481,106421,1
20110725,1,104925,13155
20110725,57,105777,833
20110725,1489,106421,1
20110801,1,104925,13155
20110801,57,105777,833
20110801,1490,106421,1
20110808,1,104925,12860
20110808,56,105777,843
20110808,1498,106421,1
20110815,1,104925,13500
20110815,56,105777,843
20110815,1496,106421,1
20110822,1,104925,13920
20110822,52,105777,861
20110822,1504,106421,1
20110829,1,104925,13920
20110829,57,105777,801
20110829,1508,106421,1
20110912,1,104925,14720
20110912,58,105777,791
20110912,1515,106421,1
20110919,1,104925,14720
20110919,64,105777,731
20110919,1520,106421,1
20110926,1,104925,14720
20110926,76,105777,671
20110926,1523,106421,1
20111003,1,104925,14720
20111003,70,105777,696
20111003,1536,106421,1
20111010,1,104925,14220
20111010,72,105777,696
20111010,1531,106421,1
20111017,1,104925,13860
20111017,70,105777,721
20111017,1534,106421,1
20111024,1,104925,13860
20111024,72,105777,691
20111024,1525,106421,1
20111031,1,104925,13860
20111031,71,105777,691
20111031,1519,106421,1
20111107,1,104925,13785
20111107,71,105777,691
20111107,1514,106421,1
20111114,1,104925,13475
20111114,70,105777,691
20111114,1511,106421,1
20111121,1,104925,13475
20111121,72,105777,691
20111121,1511,106421,1
20111128,1,104925,13675
20111128,76,105777,666
20111128,1514,106421,1
20111205,1,104925,13630
20111205,76,105777,666
20111205,1513,106421,1
20111212,1,104925,13630
20111212,76,105777,666
20111212,1511,106421,1
20111219,1,104925,13630
20111219,76,105777,666
20111219,1508,106421,1
20111226,1,104925,13630
20111226,76,105777,666
20111226,1510,106421,1
20120102,1,104925,13630
20120102,76,105777,666
20120102,1511,106421,1
20120109,1,104925,13630
20120109,76,105777,666
20120109,1512,106421,1
20120116,1,104925,13630
20120116,78,105777,666
20120116,1513,106421,1
20120130,1,104925,13630
20120130,83,105777,641
20120130,1502,106421,1
20120206,1,104925,13630
